country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,1952,8425333.0,Asia,28.801,779.4453145
Afghanistan,1957,9240934.0,Asia,30.331999999999997,820.8530296
Afghanistan,1962,10267083.0,Asia,31.997,853.1007099999999
Afghanistan,1967,11537966.0,Asia,34.02,836.1971382
Afghanistan,1972,13079460.0,Asia,36.088,739.9811057999999
Afghanistan,1977,14880372.0,Asia,38.438,786.11336
Afghanistan,1982,12881816.0,Asia,39.854,978.0114388000001
Afghanistan,1987,13867957.0,Asia,40.821999999999996,852.3959447999999
Afghanistan,1992,16317921.0,Asia,41.674,649.3413952000001
Afghanistan,1997,22227415.0,Asia,41.763000000000005,635.341351
Afghanistan,2002,25268405.0,Asia,42.129,726.7340548
Afghanistan,2007,31889923.0,Asia,43.828,974.5803384
Albania,1952,1282697.0,Europe,55.23,1601.056136
Albania,1957,1476505.0,Europe,59.28,1942.2842440000002
Albania,1962,1728137.0,Europe,64.82,2312.888958
Albania,1967,1984060.0,Europe,66.22,2760.196931
Albania,1972,2263554.0,Europe,67.69,3313.422188
Albania,1977,2509048.0,Europe,68.93,3533.0039100000004
Albania,1982,2780097.0,Europe,70.42,3630.880722
Albania,1987,3075321.0,Europe,72.0,3738.9327350000003
Albania,1992,3326498.0,Europe,71.581,2497.4379010000002
Albania,1997,3428038.0,Europe,72.95,3193.054604
Albania,2002,3508512.0,Europe,75.65100000000001,4604.211737
Albania,2007,3600523.0,Europe,76.423,5937.029525999999
Algeria,1952,9279525.0,Africa,43.077,2449.008185
Algeria,1957,10270856.0,Africa,45.685,3013.976023
Algeria,1962,11000948.0,Africa,48.303000000000004,2550.81688
Algeria,1967,12760499.0,Africa,51.407,3246.991771
Algeria,1972,14760787.0,Africa,54.518,4182.663766
Algeria,1977,17152804.0,Africa,58.013999999999996,4910.4167560000005
Algeria,1982,20033753.0,Africa,61.368,5745.160213
Algeria,1987,23254956.0,Africa,65.79899999999999,5681.358539
Algeria,1992,26298373.0,Africa,67.744,5023.216647
Algeria,1997,29072015.0,Africa,69.152,4797.295051
Algeria,2002,31287142.0,Africa,70.994,5288.040382
Algeria,2007,33333216.0,Africa,72.301,6223.367465
Angola,1952,4232095.0,Africa,30.015,3520.610273
Angola,1957,4561361.0,Africa,31.999000000000002,3827.9404649999997
Angola,1962,4826015.0,Africa,34.0,4269.276742
Angola,1967,5247469.0,Africa,35.985,5522.776375
Angola,1972,5894858.0,Africa,37.928000000000004,5473.288004999999
Angola,1977,6162675.0,Africa,39.483000000000004,3008.647355
Angola,1982,7016384.0,Africa,39.942,2756.953672
Angola,1987,7874230.0,Africa,39.906,2430.208311
Angola,1992,8735988.0,Africa,40.647,2627.8456850000002
Angola,1997,9875024.0,Africa,40.963,2277.140884
Angola,2002,10866106.0,Africa,41.003,2773.287312
Angola,2007,12420476.0,Africa,42.731,4797.231267
Argentina,1952,17876956.0,Americas,62.485,5911.315053
Argentina,1957,19610538.0,Americas,64.399,6856.856212000001
Argentina,1962,21283783.0,Americas,65.142,7133.166023000001
Argentina,1967,22934225.0,Americas,65.634,8052.953020999999
